name,univ_file,tax_rate,rate_date,tax_credit,credit_limit
WOODMERE VILLAGE INCOME TAX,YES,0.025,2010-01-01,1,0.025
WOODSFIELD VILLAGE INCOME TAX,NO,0.01,1975-10-01,1,0.01
WOODSTOCK VILLAGE INCOME TAX,YES,0.01,2006-07-01,0,0
WOOSTER CITY INCOME TAX,YES,0.015,2014-01-01,1,0.015
WORTHINGTON CITY INCOME TAX,YES,0.025,2010-07-01,1,0.025
WYOMING CITY INCOME TAX,YES,0.01,2015-01-01,0,0
XENIA CITY INCOME TAX,YES,0.0225,2011-01-01,0.015,0.015
YELLOW SPRINGS VILLAGE INCOME TAX,YES,0.015,1984-01-01,1,0.015
YOUNG GIRARD JEDZ,YES,0.0275,,0,0
YOUNGSTOWN CITY INCOME TAX,YES,0.0275,2003-01-01,1,0.0275
ZANESVILLE CITY INCOME TAX,YES,0.019,2007-01-01,1,0.019
